# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
14.16232	         1476.83894
14.17244	         1472.05908
14.18257	         1469.30030
14.19270	         1435.83815
14.20282	         1432.22119
14.21295	         1474.62238
14.22307	         1499.02407
14.23320	         1484.36325
14.24333	         1460.05258
14.25345	         1462.73539
14.26358	         1478.48738
14.27370	         1479.38643
14.28383	         1479.63411
14.29395	         1497.09234
14.30408	         1513.53937
14.31420	         1495.45589
14.32433	         1467.76379
14.33446	         1456.85962
14.34458	         1451.23710
14.35471	         1448.04468
14.36483	         1454.04058
14.37496	         1477.53823
14.38508	         1510.78685
14.39521	         1528.04505
14.40533	         1519.52731
14.41546	         1505.65870
14.42558	         1470.44436
14.43571	         1435.15537
14.44583	         1444.43911
14.45596	         1481.04244
14.46608	         1518.38843
14.47621	         1517.73741
14.48633	         1507.78162
14.49646	         1485.44069
14.50659	         1463.71226
14.51671	         1429.82429
14.52684	         1403.48422
14.53696	         1418.15370
14.54708	         1442.93092
14.55721	         1439.90913
14.56733	         1417.88607
14.57746	         1407.71752
14.58758	         1416.43551
14.59771	         1418.79485
14.60783	         1417.90531
14.61796	         1417.77705
14.62808	         1427.67257
14.63821	         1449.59668
14.64833	         1462.06505
14.65846	         1446.53517
14.66858	         1425.23327
14.67871	         1418.32926
14.68883	         1419.62028
14.69896	         1415.75944
14.70908	         1419.94862
14.71920	         1430.85459
14.72933	         1435.98557
14.73945	         1425.98217
14.74958	         1418.00237
14.75970	         1421.35242
14.76983	         1436.67247
14.77995	         1454.20441
14.79007	         1470.80317
14.80020	         1478.07771
14.81032	         1480.82470
14.82045	         1481.16032
14.83057	         1488.79039
14.84070	         1508.83805
14.85082	         1515.43129
14.86094	         1492.40339
14.87107	         1454.72144
14.88119	         1433.12837
14.89132	         1439.06536
14.90144	         1452.06720
14.91156	         1459.16694
14.92169	         1488.38548
14.93181	         1507.56878
14.94194	         1500.12786
14.95206	         1481.02782
14.96218	         1442.43431
14.97231	         1428.82053
14.98243	         1463.35871
14.99255	         1499.11756
15.00268	         1485.74976
15.01280	         1451.41033
15.02293	         1430.61413
15.03305	         1421.49468
15.04317	         1406.11302
15.05330	         1391.65461
15.06342	         1390.84486
15.07354	         1420.74658
15.08367	         1447.60051
15.09379	         1453.55666
15.10391	         1456.17471
15.11404	         1450.40708
15.12416	         1433.07605
15.13428	         1404.68968
15.14441	         1391.47051
15.15453	         1406.05602
15.16465	         1447.28979
15.17478	         1479.28120
15.18490	         1486.26181
15.19502	         1480.45130
15.20515	         1473.56048
15.21527	         1469.68461
15.22539	         1468.19116
15.23552	         1453.53968
15.24564	         1437.96107
15.25576	         1408.71771
15.26588	         1371.06751
15.27601	         1359.24603
15.28613	         1382.63088
15.29625	         1405.92263
15.30638	         1410.26937
15.31650	         1393.29095
15.32662	         1375.23024
15.33674	         1377.01809
15.34687	         1390.43414
15.35699	         1421.70888
15.36711	         1437.57451
15.37723	         1440.57082
15.38736	         1433.47527
15.39748	         1439.65693
15.40760	         1459.22317
15.41773	         1473.83095
15.42785	         1469.55207
15.43797	         1455.60821
15.44809	         1434.73614
15.45822	         1429.20468
15.46834	         1440.03506
15.47846	         1459.50657
15.48858	         1456.23743
15.49870	         1443.06985
15.50883	         1446.39789
15.51895	         1448.65892
15.52907	         1438.65315
15.53919	         1413.90584
15.54932	         1390.19004
15.55944	         1370.93314
15.56956	         1349.92156
15.57968	         1341.34025
15.58980	         1338.69489
15.59993	         1330.63478
15.61005	         1326.12757
15.62017	         1324.65192
15.63029	         1323.01302
15.64041	         1333.94820
15.65054	         1360.58135
15.66066	         1381.75156
15.67078	         1380.75226
15.68090	         1373.44670
15.69102	         1364.43511
15.70115	         1354.40469
15.71127	         1343.50131
15.72139	         1333.27340
15.73151	         1340.24577
15.74163	         1356.92382
15.75175	         1361.59434
15.76188	         1362.60558
15.77200	         1379.36412
15.78212	         1408.40015
15.79224	         1426.89499
15.80236	         1423.51209
15.81248	         1422.89031
15.82261	         1421.23894
15.83273	         1406.21852
15.84285	         1385.20160
15.85297	         1365.25233
15.86309	         1347.22397
15.87321	         1324.02624
15.88333	         1315.28298
15.89345	         1325.36955
15.90358	         1325.42343
15.91370	         1329.35283
15.92382	         1356.47635
15.93394	         1359.09889
15.94406	         1347.37962
15.95418	         1347.31203
15.96430	         1382.31226
15.97442	         1411.42862
15.98454	         1417.62916
15.99467	         1409.26788
16.00479	         1393.55297
16.01491	         1378.62775
16.02503	         1368.97302
16.03515	         1363.34195
16.04527	         1373.52073
16.05539	         1387.67073
16.06551	         1398.96600
16.07563	         1390.87295
16.08575	         1374.36802
16.09587	         1370.16332
16.10600	         1383.66092
16.11612	         1397.24036
16.12624	         1396.39386
16.13636	         1380.33401
16.14648	         1365.42151
16.15660	         1358.91296
16.16672	         1353.65343
16.17684	         1350.75375
16.18696	         1357.81064
16.19708	         1372.94326
16.20720	         1363.76807
16.21732	         1344.54035
16.22744	         1341.75549
16.23756	         1341.10941
16.24768	         1338.98790
16.25780	         1354.02479
16.26792	         1370.88532
16.27804	         1393.35768
16.28816	         1398.83179
16.29828	         1376.06308
16.30840	         1357.14626
16.31852	         1362.05705
16.32864	         1355.37830
16.33876	         1342.59160
16.34888	         1321.60611
16.35900	         1310.79588
16.36912	         1321.24838
16.37924	         1348.41361
16.38936	         1355.54742
16.39948	         1357.65304
16.40960	         1363.36947
16.41972	         1362.91800
16.42984	         1357.42326
16.43996	         1335.67014
16.45008	         1316.97430
16.46020	         1326.10879
16.47032	         1348.36183
16.48044	         1364.34085
16.49056	         1359.77883
16.50068	         1327.47609
16.51080	         1293.49701
16.52092	         1291.71551
16.53104	         1309.28648
16.54116	         1330.97762
16.55128	         1329.28568
16.56140	         1317.04068
16.57152	         1332.63826
16.58164	         1360.66388
16.59176	         1382.19787
16.60188	         1368.70280
16.61199	         1337.43138
16.62211	         1326.56795
16.63223	         1346.42145
16.64235	         1365.02785
16.65247	         1360.32509
16.66259	         1348.58312
16.67271	         1349.96072
16.68283	         1360.47823
16.69295	         1367.87957
16.70307	         1338.14718
16.71319	         1308.41865
16.72331	         1313.92516
16.73342	         1333.31499
16.74354	         1331.69063
16.75366	         1307.25429
16.76378	         1284.51066
16.77390	         1281.24928
16.78402	         1288.57654
16.79414	         1297.73236
16.80426	         1297.13425
16.81438	         1284.55413
16.82449	         1279.00138
16.83461	         1304.93360
16.84473	         1333.84921
16.85485	         1355.44906
16.86497	         1358.01719
16.87509	         1346.98310
16.88521	         1330.98977
16.89532	         1338.11502
16.90544	         1358.56010
16.91556	         1384.67266
16.92568	         1380.65582
16.93580	         1364.73650
16.94592	         1343.74347
16.95604	         1336.05912
16.96615	         1354.15903
16.97627	         1368.09263
16.98639	         1351.94023
16.99651	         1357.33179
17.00663	         1356.82005
17.01675	         1343.22258
17.02686	         1348.93508
17.03698	         1360.04621
17.04710	         1357.32168
17.05722	         1347.37735
17.06734	         1324.16229
17.07745	         1311.27072
17.08757	         1334.32137
17.09769	         1359.88835
17.10781	         1353.22530
17.11793	         1337.43581
17.12804	         1335.67594
17.13816	         1329.67984
17.14828	         1317.52713
17.15840	         1334.74631
17.16852	         1371.71526
17.17863	         1381.90530
17.18875	         1369.47441
17.19887	         1358.72350
17.20899	         1348.39736
17.21910	         1327.70622
17.22922	         1310.99370
17.23934	         1317.58454
17.24946	         1330.58318
17.25957	         1351.71380
17.26969	         1368.42700
17.27981	         1367.10451
17.28993	         1362.99793
17.30004	         1358.96785
17.31016	         1348.23385
17.32028	         1348.89823
17.33040	         1349.15044
17.34051	         1337.82561
17.35063	         1316.92130
17.36075	         1295.10849
17.37087	         1284.19371
17.38098	         1277.24287
17.39110	         1279.44578
17.40122	         1276.21805
17.41133	         1281.91569
17.42145	         1297.84787
17.43157	         1300.74780
17.44169	         1297.73863
17.45180	         1315.28389
17.46192	         1335.60139
17.47204	         1351.47756
17.48215	         1345.48085
17.49227	         1314.72070
17.50239	         1291.00640
17.51250	         1288.61329
17.52262	         1291.99706
17.53274	         1290.29111
17.54286	         1284.92957
17.55297	         1300.95723
17.56309	         1334.40696
17.57321	         1351.26523
17.58332	         1328.66544
17.59344	         1295.42558
17.60356	         1281.08719
17.61367	         1289.65628
17.62379	         1299.26169
17.63391	         1304.76509
17.64402	         1308.55351
17.65414	         1329.40568
17.66425	         1360.06241
17.67437	         1364.65964
