# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
14.30408	         129.64700
14.31420	         131.51413
14.32433	         126.90855
14.33446	         117.78978
14.34458	         108.02171
14.35471	         108.04656
14.36483	         112.96921
14.37496	         115.29928
14.38508	         118.31214
14.39521	         124.23990
14.40533	         128.70922
14.41546	         134.48632
14.42558	         135.99700
14.43571	         127.02584
14.44583	         114.07010
14.45596	         105.43154
14.46608	         109.40084
14.47621	         125.25401
14.48633	         139.60745
14.49646	         140.60771
14.50659	         130.48050
14.51671	         119.99673
14.52684	         114.75562
14.53696	         115.28905
14.54708	         123.06954
14.55721	         132.55180
14.56733	         136.90406
14.57746	         136.25685
14.58758	         130.20431
14.59771	         125.02414
14.60783	         122.99519
14.61796	         120.45091
14.62808	         116.59778
14.63821	         111.12822
14.64833	         111.74046
14.65846	         117.34978
14.66858	         121.99100
14.67871	         122.60614
14.68883	         122.19454
14.69896	         116.12233
14.70908	         105.48154
14.71920	         99.98915
14.72933	         101.03079
14.73945	         108.97556
14.74958	         121.30252
14.75970	         130.00698
14.76983	         129.37650
14.77995	         127.62661
14.79007	         126.09552
14.80020	         121.54523
14.81032	         118.21601
14.82045	         114.62643
14.83057	         111.31976
14.84070	         110.32555
14.85082	         109.82360
14.86094	         109.90149
14.87107	         109.84052
14.88119	         111.83030
14.89132	         114.55490
14.90144	         115.82486
14.91156	         115.46076
14.92169	         113.07876
14.93181	         108.23909
14.94194	         106.25325
14.95206	         109.43308
14.96218	         117.22007
14.97231	         121.05233
14.98243	         118.24733
14.99255	         117.38672
15.00268	         122.99340
15.01280	         121.18702
15.02293	         110.98153
15.03305	         105.93210
15.04317	         108.93116
15.05330	         115.14060
15.06342	         120.09642
15.07354	         124.27374
15.08367	         124.07280
15.09379	         122.50740
15.10391	         120.35508
15.11404	         116.46342
15.12416	         114.96810
15.13428	         116.21053
15.14441	         116.27684
15.15453	         114.42515
15.16465	         113.27783
15.17478	         115.22201
15.18490	         117.60948
15.19502	         119.22469
15.20515	         120.77975
15.21527	         122.00050
15.22539	         123.77033
15.23552	         127.22971
15.24564	         125.48735
15.25576	         120.64460
15.26588	         114.64426
15.27601	         110.46013
15.28613	         109.57108
15.29625	         110.69157
15.30638	         118.25411
15.31650	         123.73489
15.32662	         122.60357
15.33674	         122.80549
15.34687	         125.25369
15.35699	         119.11577
15.36711	         104.51881
15.37723	         93.88256
15.38736	         96.48131
15.39748	         106.30447
15.40760	         113.29433
15.41773	         115.15602
15.42785	         117.57744
15.43797	         120.57381
15.44809	         122.04559
15.45822	         117.92167
15.46834	         109.68623
15.47846	         103.19156
15.48858	         102.61121
15.49870	         110.15888
15.50883	         120.40148
15.51895	         126.17949
15.52907	         121.43874
15.53919	         116.88848
15.54932	         113.22298
15.55944	         114.49959
15.56956	         116.48276
15.57968	         112.92806
15.58980	         108.95826
15.59993	         110.14206
15.61005	         116.14961
15.62017	         119.11472
15.63029	         119.12442
15.64041	         114.86840
15.65054	         107.46799
15.66066	         101.92957
15.67078	         100.68825
15.68090	         102.01721
15.69102	         102.99484
15.70115	         102.99972
15.71127	         105.72082
15.72139	         112.70766
15.73151	         120.93405
15.74163	         118.50210
15.75175	         113.29598
15.76188	         113.28968
15.77200	         118.29304
15.78212	         117.41168
15.79224	         111.60423
15.80236	         110.12335
15.81248	         114.59398
15.82261	         117.01724
15.83273	         113.70063
15.84285	         112.03180
15.85297	         109.35348
15.86309	         105.32645
15.87321	         105.91328
15.88333	         116.64165
15.89345	         130.61288
15.90358	         131.19020
15.91370	         119.09941
15.92382	         111.21073
15.93394	         111.73496
15.94406	         111.01306
15.95418	         110.42721
15.96430	         118.28414
15.97442	         126.73920
15.98454	         120.00532
15.99467	         101.35094
16.00479	         92.05637
16.01491	         92.76395
16.02503	         98.90057
16.03515	         103.22694
16.04527	         108.73178
16.05539	         115.40794
16.06551	         119.33937
16.07563	         117.69079
16.08575	         114.30828
16.09587	         112.03252
16.10600	         116.61415
16.11612	         124.65063
16.12624	         129.00298
16.13636	         130.63815
16.14648	         129.29722
16.15660	         124.81901
16.16672	         119.51315
16.17684	         116.50071
16.18696	         117.51837
16.19708	         116.48715
16.20720	         117.20130
16.21732	         124.50586
16.22744	         128.50143
16.23756	         127.79550
16.24768	         127.09836
16.25780	         128.69391
16.26792	         127.36462
16.27804	         122.94236
16.28816	         118.85897
16.29828	         114.86986
16.30840	         109.33140
16.31852	         106.25629
16.32864	         108.84493
16.33876	         112.60277
16.34888	         111.05715
16.35900	         109.85879
16.36912	         115.04649
16.37924	         123.00763
16.38936	         128.06834
16.39948	         124.18103
16.40960	         118.92907
16.41972	         118.04806
16.42984	         120.42500
16.43996	         125.21460
16.45008	         127.81795
16.46020	         125.00658
16.47032	         118.37111
16.48044	         110.64862
16.49056	         106.99376
16.50068	         113.67554
16.51080	         127.08957
16.52092	         135.36017
16.53104	         133.12799
16.54116	         120.71165
16.55128	         103.57357
16.56140	         98.55900
16.57152	         103.13452
16.58164	         109.14169
16.59176	         115.47413
16.60188	         119.51692
16.61199	         118.16726
16.62211	         114.80423
16.63223	         116.35337
16.64235	         116.61267
16.65247	         116.04282
16.66259	         116.21875
16.67271	         117.40682
16.68283	         116.50010
16.69295	         115.63773
16.70307	         115.45567
16.71319	         114.66846
16.72331	         109.48431
16.73342	         100.86328
16.74354	         97.66465
16.75366	         98.64808
16.76378	         97.98365
16.77390	         94.93911
16.78402	         95.68627
16.79414	         105.18079
16.80426	         120.58083
16.81438	         130.58938
16.82449	         123.77451
