# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          70.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              6400
2Theta(бу)	         Counts
17.14174	         3483.78680
17.15174	         3508.47263
17.16174	         3520.42963
17.17174	         3552.23671
17.18174	         3559.35033
17.19174	         3532.44821
17.20174	         3522.90642
17.21174	         3526.49362
17.22174	         3521.23702
17.23174	         3485.26517
17.24174	         3450.96602
17.25174	         3447.57399
17.26174	         3459.01109
17.27174	         3481.62468
17.28174	         3502.28109
17.29174	         3487.70409
17.30174	         3426.36134
17.31174	         3389.31686
17.32174	         3440.19397
17.33174	         3505.16042
17.34174	         3479.26812
17.35174	         3398.21206
17.36174	         3357.96516
17.37174	         3367.36461
17.38175	         3387.99670
17.39175	         3403.46645
17.40175	         3420.53463
17.41175	         3407.85683
17.42175	         3381.82288
17.43175	         3372.44776
17.44175	         3397.32622
17.45175	         3415.58391
17.46175	         3386.33611
17.47175	         3352.71746
17.48175	         3346.30948
17.49175	         3333.27373
17.50175	         3305.82810
17.51175	         3308.62119
17.52175	         3361.46797
17.53175	         3413.15534
17.54175	         3421.46282
17.55175	         3407.06820
17.56175	         3385.56136
17.57175	         3364.10786
17.58175	         3381.36351
17.59175	         3423.14427
17.60175	         3437.81517
17.61175	         3428.54817
17.62175	         3402.07689
17.63175	         3346.37580
17.64175	         3324.84093
17.65175	         3350.96986
17.66175	         3377.21065
17.67175	         3403.90235
17.68175	         3449.12431
17.69175	         3477.67023
17.70175	         3419.30253
17.71175	         3297.13569
17.72175	         3176.47284
17.73175	         3117.50532
17.74175	         3151.39386
17.75175	         3196.24030
17.76175	         3223.92029
17.77175	         3269.88325
17.78175	         3335.96423
17.79175	         3369.61774
17.80175	         3341.65214
17.81176	         3301.16181
17.82176	         3284.42376
17.83176	         3246.58135
17.84176	         3172.00073
17.85176	         3140.06866
17.86176	         3177.95923
17.87176	         3229.76939
17.88176	         3254.02507
17.89176	         3257.86157
17.90176	         3256.94837
17.91176	         3242.16875
17.92176	         3228.41970
17.93176	         3247.61838
17.94176	         3252.07162
17.95176	         3223.51783
17.96176	         3195.39157
17.97176	         3173.68301
17.98176	         3158.41160
17.99176	         3163.70992
18.00176	         3187.73772
18.01176	         3207.43420
18.02176	         3254.44337
18.03176	         3301.95397
18.04176	         3320.54428
18.05176	         3322.64096
18.06176	         3280.73687
18.07176	         3225.27067
18.08176	         3206.14680
18.09176	         3210.61890
18.10176	         3215.88091
18.11176	         3195.54623
18.12176	         3163.49742
18.13176	         3174.63711
18.14176	         3226.85267
18.15176	         3280.40329
18.16176	         3289.74205
18.17176	         3254.69567
18.18176	         3201.12008
18.19176	         3169.80423
18.20176	         3157.98215
18.21176	         3169.62909
18.22176	         3168.86876
18.23176	         3159.53153
18.24176	         3174.10525
18.25177	         3197.21085
18.26177	         3199.74104
18.27177	         3185.76513
18.28177	         3162.40040
