# Arm length:          0  mm
# Shutter size:        0.0  mm
# Soller size:         0.0 бу
# Start theta:         10.0 бу
# Stop theta:          80.0 бу
# Increment:           0.0100002289 бу
# Exposure time:       0.1 s
# Frames:              7400
2Theta(бу)	         Counts
15.44809	         1963.32264
15.45822	         1957.72328
15.46834	         1919.73111
15.47846	         1902.28808
15.48858	         1932.24891
15.49870	         1980.21010
15.50883	         2013.20568
15.51895	         2024.58883
15.52907	         2011.50482
15.53919	         1961.10635
15.54932	         1909.76522
15.55944	         1908.33565
15.56956	         1933.43348
15.57968	         1945.56284
15.58980	         1944.01837
15.59993	         1945.81587
15.61005	         1942.16587
15.62017	         1945.05349
15.63029	         1938.16310
15.64041	         1926.30506
15.65054	         1921.60464
15.66066	         1930.55980
15.67078	         1934.79376
15.68090	         1916.76392
15.69102	         1904.48059
15.70115	         1893.58613
15.71127	         1876.34650
15.72139	         1873.95134
15.73151	         1867.81048
15.74163	         1860.35338
15.75175	         1864.27195
15.76188	         1872.76322
15.77200	         1890.64708
15.78212	         1903.00637
15.79224	         1919.83419
15.80236	         1934.78813
15.81248	         1952.31957
15.82261	         1961.29600
15.83273	         1943.18339
15.84285	         1914.72265
15.85297	         1905.09379
15.86309	         1906.62054
15.87321	         1912.50183
15.88333	         1906.65197
15.89345	         1899.85654
15.90358	         1886.69389
15.91370	         1873.05263
15.92382	         1876.53661
15.93394	         1892.31294
15.94406	         1894.07779
15.95418	         1895.68813
15.96430	         1884.51387
15.97442	         1882.47908
15.98454	         1900.33873
15.99467	         1910.34083
16.00479	         1901.79210
16.01491	         1897.75159
16.02503	         1904.18915
16.03515	         1904.68218
16.04527	         1909.71302
16.05539	         1912.13849
16.06551	         1908.19823
16.07563	         1907.52200
16.08575	         1906.70769
16.09587	         1902.88728
16.10600	         1909.01996
16.11612	         1908.68349
16.12624	         1887.74194
16.13636	         1871.85671
16.14648	         1880.46256
16.15660	         1899.43640
16.16672	         1922.87350
16.17684	         1921.68813
16.18696	         1900.77588
16.19708	         1860.45289
16.20720	         1846.15314
16.21732	         1884.37909
16.22744	         1928.31048
16.23756	         1943.21141
16.24768	         1957.99195
16.25780	         1984.01269
16.26792	         1970.74586
16.27804	         1920.01306
16.28816	         1851.65712
16.29828	         1816.57276
16.30840	         1849.14152
16.31852	         1932.00395
16.32864	         1974.20422
16.33876	         1942.04045
16.34888	         1890.25973
16.35900	         1886.36144
16.36912	         1902.95051
16.37924	         1902.88624
16.38936	         1894.04321
16.39948	         1899.54626
16.40960	         1912.83943
16.41972	         1925.95448
16.42984	         1932.77341
16.43996	         1910.72252
16.45008	         1902.86648
16.46020	         1916.36112
16.47032	         1906.78263
16.48044	         1875.94958
16.49056	         1871.02537
16.50068	         1904.53567
16.51080	         1942.90752
16.52092	         1947.07025
16.53104	         1941.88421
16.54116	         1927.99696
16.55128	         1902.92866
16.56140	         1859.56916
16.57152	         1830.34272
16.58164	         1837.65234
16.59176	         1869.13383
16.60188	         1906.47668
16.61199	         1915.32515
16.62211	         1897.86533
16.63223	         1868.07524
16.64235	         1854.35372
16.65247	         1862.80134
16.66259	         1872.17191
16.67271	         1866.43184
16.68283	         1852.05130
16.69295	         1861.54263
16.70307	         1918.04438
16.71319	         1948.05382
16.72331	         1930.17074
16.73342	         1891.68599
16.74354	         1869.17462
16.75366	         1856.48519
16.76378	         1857.33734
16.77390	         1882.45779
16.78402	         1922.94264
16.79414	         1952.29477
16.80426	         1962.63208
16.81438	         1940.34994
16.82449	         1871.55790
16.83461	         1812.89088
16.84473	         1818.59945
16.85485	         1867.88075
16.86497	         1885.56888
16.87509	         1870.82910
16.88521	         1838.62642
16.89532	         1829.49777
16.90544	         1833.28961
